log_id,api_id,request_time,response_time_ms,status_code,request_method,payload_size_kb,cpu_usage,memory_usage,request_count,error_message,server_region,is_error,performance_category
1312,194,2026-05-11 10:31:33,174.52,200,POST,2196.785,35.35,14.69,2,No Error,Eu-West-1,False,Fast
1313,62,2026-05-07 00:19:28,126.19,200,DELETE,7.187,24.73,16.99,1,No Error,Eu-West-1,False,Fast
1314,121,2026-05-01 03:08:17,410.61,200,PATCH,1078.156,22.94,68.31,1,No Error,Us-East-1,False,Moderate
1315,143,2026-05-03 14:54:22,344.57,204,GET,9.884,14.59,38.19,1,No Error,Us-East-1,False,Moderate
1316,125,2026-05-09 17:49:43,91.7,429,PATCH,1625.065,10.8,14.94,1,Rate Limit Exceeded: Threshold of 100 req/sec breached,Us-East-1,True,Fast
1317,133,2026-05-24 13:02:26,389.48,201,DELETE,5.14,9.88,12.07,1,No Error,Sa-East-1,False,Moderate
1318,119,2026-05-17 19:27:28,248.37,200,PUT,599.244,16.52,24.97,1,No Error,Sa-East-1,False,Moderate
1319,222,2026-05-20 06:34:48,355.25,204,GET,11.845,18.23,29.76,1,No Error,Ap-Southeast-1,False,Moderate
1320,95,2026-05-15 01:16:20,120.61,201,GET,4.878,6.58,17.75,1,No Error,Eu-West-1,False,Fast
1321,111,2026-05-16 18:39:40,238.22,200,DELETE,6.377,22.69,43.61,1,No Error,Us-West-2,False,Moderate
1322,10,2026-05-11 22:01:05,293.94,200,PATCH,2340.682,1.53,21.59,1,No Error,Eu-West-1,False,Moderate
1323,207,2026-05-19 22:05:35,242.55,204,POST,1939.633,7.01,50.19,1,No Error,Ap-Southeast-1,False,Moderate
1324,165,2026-05-21 05:13:24,278.05,200,POST,2966.837,24.12,33.36,1,No Error,Sa-East-1,False,Moderate
1325,242,2026-05-24 10:00:58,449.97,204,POST,2783.387,24.74,37.83,1,No Error,Eu-West-1,False,Moderate
1326,140,2026-05-03 22:00:31,281.0,200,PATCH,1012.939,10.84,20.15,1,No Error,Ap-Southeast-1,False,Moderate
1327,10,2026-05-23 22:23:46,84.32,201,PATCH,3515.459,18.3,33.52,1,No Error,Eu-West-1,False,Fast
1328,74,2026-05-24 17:16:46,152.42,200,PUT,52.172,16.64,47.93,1,No Error,Eu-West-1,False,Fast
1329,92,2026-05-08 08:09:17,89.8,200,PATCH,3635.339,34.93,17.11,1,No Error,Sa-East-1,False,Fast
1330,114,2026-05-16 18:21:15,410.78,204,PUT,2035.063,7.15,41.16,1,No Error,Us-West-2,False,Moderate
1331,133,2026-05-20 15:02:13,8141.19,504,PUT,3490.555,97.54,94.76,2,Gateway Timeout: Upstream microservice failed to respond within 15000ms,Ap-Southeast-1,True,Slow
1332,56,2026-05-18 00:05:59,286.37,204,GET,7.954,29.59,43.73,1,No Error,Sa-East-1,False,Moderate
1333,162,2026-05-24 17:39:35,130.69,201,PATCH,582.871,15.86,49.48,1,No Error,Sa-East-1,False,Fast
1334,33,2026-05-05 23:41:10,5.1,403,PUT,2519.198,8.33,9.63,1,Forbidden: Client lacks required read/write scopes,Sa-East-1,True,Fast
1335,241,2026-05-07 01:22:32,200.385,400,POST,3511.345,165.4,0.0,1,No Error,Sa-East-1,True,Moderate
1336,114,2026-05-19 11:55:38,170.82,201,PATCH,805.974,10.31,26.87,1,No Error,Eu-West-1,False,Fast
1337,31,2026-05-16 15:31:57,289.23,200,PUT,2073.714,6.13,24.88,1,No Error,Us-East-1,False,Moderate
1338,105,2026-05-06 06:34:26,355.01,204,PUT,1319.712,27.6,12.1,5,No Error,Us-West-2,False,Moderate
1339,120,2026-05-09 00:47:01,10.73,403,POST,1471.533,8.71,28.35,1,Forbidden: Client lacks required read/write scopes,Eu-West-1,True,Fast
1340,130,2026-05-16 07:33:40,52.26,200,PUT,18.581,6.95,36.27,5,No Error,Us-East-1,False,Fast
1341,77,2026-05-04 09:02:10,438.27,200,POST,2839.222,2.0,21.98,2,No Error,Us-East-1,False,Moderate
1342,163,2026-05-12 07:44:49,307.84,200,POST,151.109,21.57,30.7,1,No Error,Sa-East-1,False,Moderate
1343,161,2026-05-24 11:25:30,44.04,400,POST,1170.125,2.35,20.86,2,Bad Request: Invalid JSON payload structure,Ap-Southeast-1,True,Fast
1344,12,2026-05-06 11:30:48,92.15,200,GET,8.809,27.15,17.16,5,No Error,Us-West-2,False,Fast
1345,87,2026-05-25 23:57:29,72.04,429,PUT,1862.884,9.1,21.18,1,Rate Limit Exceeded: Threshold of 100 req/sec breached,Ap-Southeast-1,True,Fast
1346,2,2026-05-18 23:33:48,246.81,200,PUT,3428.046,5.74,23.11,1,No Error,Ap-Southeast-1,False,Moderate
1347,19,2026-05-16 03:52:21,19018.97,503,POST,14.748,99.44,88.68,1,Service Unavailable: Downstream database connection pool timeout,Us-East-1,True,Slow
1348,47,2026-05-18 05:01:29,58.55,200,POST,2592.995,23.63,33.26,1,No Error,Sa-East-1,False,Fast
1349,180,2026-05-11 13:36:12,228.5,200,PUT,3453.13,35.73,14.77,1,No Error,Eu-West-1,False,Moderate
1350,148,2026-05-19 16:12:03,99999.99,400,GET,2.812,17.42,29.34,1,No Error,Us-West-2,True,Slow
1351,133,2026-05-11 18:31:06,200.385,500,DELETE,9.225,165.4,-1.0,1,CRITICAL_TELEMETRY_DROP_OUT,Sa-East-1,True,Moderate
1352,71,2026-05-01 11:13:48,368.15,200,PUT,2830.642,10.59,45.8,1,No Error,Sa-East-1,False,Moderate
1353,54,2026-05-18 09:33:37,12.52,400,GET,9.322,4.91,8.62,1,Bad Request: Invalid JSON payload structure,Eu-West-1,True,Fast
1354,243,2026-05-22 07:10:27,61.07,204,DELETE,9.808,15.09,32.72,1,No Error,Ap-Southeast-1,False,Fast
1355,37,2026-05-17 03:23:50,356.61,200,PATCH,20.249,12.32,17.02,1,No Error,Us-East-1,False,Moderate
1356,198,2026-05-21 07:33:04,22.41,400,POST,537.93,0.37,14.32,1,Bad Request: Invalid JSON payload structure,Eu-West-1,True,Fast
1357,142,2026-05-22 18:29:25,400.64,201,POST,1526.531,18.81,12.96,1,No Error,Us-West-2,False,Moderate
1358,1,2026-05-24 15:27:11,4.62,403,POST,2092.083,2.08,19.8,1,Forbidden: Client lacks required read/write scopes,Sa-East-1,True,Fast
1359,226,2026-05-25 09:55:28,304.6,204,POST,715.219,17.39,31.87,1,No Error,Us-East-1,False,Moderate
1360,118,2026-05-23 19:01:47,221.53,200,GET,9.883,27.24,29.07,1,No Error,Ap-Southeast-1,False,Moderate
1361,31,2026-05-21 23:43:29,70.19,403,POST,2548.482,3.49,22.56,1,Forbidden: Client lacks required read/write scopes,Eu-West-1,True,Fast
1362,62,2026-05-10 15:40:02,28450.39,500,POST,3401.851,96.55,92.66,1,Internal Server Error: NullPointerException in controller execution layer,Eu-West-1,True,Slow
1363,63,2026-05-18 22:23:46,15.15,429,POST,2641.558,2.71,14.76,1,Rate Limit Exceeded: Threshold of 100 req/sec breached,Sa-East-1,True,Fast
1364,109,2026-05-18 13:47:07,121.73,200,POST,3618.332,25.82,18.52,1,No Error,Sa-East-1,False,Fast
1365,229,2026-05-01 10:14:11,377.46,201,PUT,2543.508,4.01,41.77,1,No Error,Sa-East-1,False,Moderate
1366,174,2026-05-17 00:43:16,395.27,201,PATCH,3520.36,35.59,35.32,1,No Error,Eu-West-1,False,Moderate
1367,19,2026-05-05 22:22:13,357.51,200,POST,1645.342,20.03,17.13,1,No Error,Us-East-1,False,Moderate
1368,224,2026-05-24 01:39:26,16739.07,503,PUT,2739.377,99.39,96.9,1,Service Unavailable: Downstream database connection pool timeout,Eu-West-1,True,Slow
1369,171,2026-05-24 11:56:33,274.41,200,DELETE,12.256,31.99,47.24,2,No Error,Eu-West-1,False,Moderate
1370,76,2026-05-22 14:29:03,411.59,200,DELETE,7.36,30.07,19.45,1,No Error,Sa-East-1,False,Moderate
1371,123,2026-05-10 02:36:33,140.37,200,POST,3404.538,17.08,39.03,5,No Error,Us-West-2,False,Fast
1372,135,2026-05-19 23:11:46,-1.0,500,PUT,2578.719,165.4,29.34,1,CRITICAL_TELEMETRY_DROP_OUT,Us-East-1,True,Fast
1373,47,2026-05-19 18:20:45,440.28,400,PUT,2863.875,47.61,49.76,1,No Error,Us-East-1,True,Moderate
1374,145,2026-05-16 06:42:19,147.87,200,DELETE,0.166,25.61,19.37,1,No Error,Us-West-2,False,Fast
1375,148,2026-05-12 20:10:23,4.91,401,POST,877.851,0.98,29.14,1,Unauthorized: Signature mismatch or expired bearer token,Sa-East-1,True,Fast
1376,30,2026-05-10 15:08:26,366.82,200,DELETE,5.27,2.96,37.6,1,No Error,Us-East-1,False,Moderate
1377,229,2026-05-20 18:44:36,75.54,400,PUT,89.383,5.9,29.11,1,Bad Request: Invalid JSON payload structure,Sa-East-1,True,Fast
1378,23,2026-05-07 15:52:02,124.74,200,PUT,2789.194,31.14,37.05,5,No Error,Us-West-2,False,Fast
1379,142,2026-05-12 13:38:03,156.76,200,POST,748.624,24.42,51.47,5,No Error,Sa-East-1,False,Fast
1380,128,2026-05-05 17:52:25,269.71,200,PUT,1780.278,14.83,51.41,1,No Error,Us-West-2,False,Moderate
1381,213,2026-05-25 23:36:49,119.56,200,PUT,811.448,31.22,31.67,1,No Error,Eu-West-1,False,Fast
1382,191,2026-05-02 14:00:28,283.12,201,GET,3.066,23.93,32.51,1,No Error,Us-East-1,False,Moderate
1383,62,2026-05-15 22:45:14,218.33,200,GET,10.431,21.19,40.25,2,No Error,Eu-West-1,False,Moderate
1384,157,2026-05-05 15:33:19,216.57,204,PATCH,2184.675,11.4,30.7,1,No Error,Ap-Southeast-1,False,Moderate
1385,219,2026-05-18 13:53:10,201.02,204,PUT,2441.409,27.24,50.83,1,No Error,Ap-Southeast-1,False,Moderate
1386,149,2026-05-18 08:09:43,34.58,200,PATCH,2214.886,28.87,41.48,1,No Error,Us-East-1,False,Fast
1387,104,2026-05-04 04:13:15,112.83,200,DELETE,5.912,22.87,47.9,2,No Error,Us-East-1,False,Fast
1388,73,2026-05-21 04:50:54,391.2,200,GET,7.909,10.33,28.2,1,No Error,Eu-West-1,False,Moderate
1389,32,2026-05-08 08:58:58,200.385,400,PATCH,3228.155,17.42,0.0,1,No Error,Eu-West-1,True,Moderate
1390,55,2026-05-05 02:21:31,157.09,200,POST,437.051,9.31,51.3,1,No Error,Sa-East-1,False,Fast
1391,224,2026-05-25 17:59:00,66.6,200,POST,2505.46,6.94,18.85,2,No Error,Us-East-1,False,Fast
1392,109,2026-05-09 18:04:19,95.99,204,PATCH,2234.616,9.57,47.17,2,No Error,Sa-East-1,False,Fast
1393,121,2026-05-05 04:35:59,152.04,200,PATCH,3234.492,21.63,29.0,1,No Error,Ap-Southeast-1,False,Fast
1394,41,2026-05-20 13:03:20,286.15,200,GET,6.659,24.58,37.54,2,No Error,Ap-Southeast-1,False,Moderate
1395,131,2026-05-23 17:54:57,28881.84,503,GET,10.79,96.43,90.61,1,Service Unavailable: Downstream database connection pool timeout,Eu-West-1,True,Slow
1396,136,2026-05-01 14:02:37,299.16,204,POST,3018.944,9.57,28.15,1,No Error,Sa-East-1,False,Moderate
1397,95,2026-05-16 03:32:24,359.97,200,PUT,1707.885,17.16,37.45,1,No Error,Sa-East-1,False,Moderate
1398,154,2026-05-09 19:37:19,305.33,200,DELETE,2.55,33.5,13.56,1,No Error,Us-East-1,False,Moderate
1399,241,2026-05-04 14:38:24,66.17,200,PUT,903.166,15.78,18.8,1,No Error,Us-East-1,False,Fast
1400,90,2026-05-18 19:34:46,409.43,204,GET,11.113,1.88,25.63,1,No Error,Ap-Southeast-1,False,Moderate
1401,49,2026-05-21 14:29:10,26032.83,503,POST,2198.325,97.0,96.75,1,Service Unavailable: Downstream database connection pool timeout,Us-East-1,True,Slow
1402,13,2026-05-11 02:50:09,430.88,200,PUT,1343.968,27.18,36.07,1,No Error,Us-West-2,False,Moderate
1403,23,2026-05-22 05:57:57,436.76,204,PUT,3805.541,5.55,18.02,1,No Error,Us-East-1,False,Moderate
1404,185,2026-05-25 23:34:43,99.76,204,POST,2915.394,1.55,18.82,1,No Error,Us-East-1,False,Fast
1405,171,2026-05-02 07:19:36,40.79,404,PUT,3850.788,9.23,19.26,1,Resource Not Found: Endpoint entity collection does not exist,Us-East-1,True,Fast
1406,198,2026-05-15 14:02:42,432.47,204,DELETE,3.705,6.59,40.21,1,No Error,Us-West-2,False,Moderate
1407,120,2026-05-14 19:44:15,225.42,201,DELETE,1.371,30.13,21.8,1,No Error,Sa-East-1,False,Moderate
1408,175,2026-05-01 18:43:48,27.77,404,PUT,1284.173,11.14,26.44,1,Resource Not Found: Endpoint entity collection does not exist,Us-East-1,True,Fast
1409,236,2026-05-12 09:25:17,28.76,429,PUT,1000.619,1.41,20.4,5,Rate Limit Exceeded: Threshold of 100 req/sec breached,Us-East-1,True,Fast
1410,139,2026-05-23 01:27:09,438.84,200,GET,2.985,29.55,35.96,1,No Error,Eu-West-1,False,Moderate
1411,124,2026-05-21 10:15:23,25058.95,504,PUT,960.397,90.55,98.47,1,Gateway Timeout: Upstream microservice failed to respond within 15000ms,Ap-Southeast-1,True,Slow
1412,47,2026-05-01 23:21:33,150.94,201,PATCH,1689.456,12.17,42.64,1,No Error,Sa-East-1,False,Fast
1413,93,2026-05-25 23:15:29,38.51,200,PATCH,3097.292,4.91,25.31,1,No Error,Ap-Southeast-1,False,Fast
1414,106,2026-05-12 19:00:20,344.08,200,DELETE,4.664,11.04,41.7,1,No Error,Us-East-1,False,Moderate
1415,22,2026-05-01 03:08:17,201.2,500,POST,1520.265,64.66,53.42,5,CRITICAL_TELEMETRY_DROP_OUT,Us-East-1,True,Moderate
1416,52,2026-05-10 09:24:04,289.26,200,PATCH,2922.557,19.59,23.11,1,No Error,Eu-West-1,False,Moderate
1417,32,2026-05-14 08:36:55,429.04,201,POST,3410.665,32.88,31.72,1,No Error,Us-West-2,False,Moderate
1418,12,2026-05-19 06:55:23,200.385,400,GET,2.345,17.42,-1.0,1,No Error,Ap-Southeast-1,True,Moderate
1419,116,2026-05-21 11:23:45,336.22,200,DELETE,7.225,13.33,48.79,1,No Error,Ap-Southeast-1,False,Moderate
1420,148,2026-05-06 07:07:50,56.73,401,PATCH,3078.635,4.46,25.44,1,Unauthorized: Signature mismatch or expired bearer token,Sa-East-1,True,Fast
1421,187,2026-05-18 01:50:50,24969.24,500,PUT,1072.541,93.98,98.97,1,Internal Server Error: NullPointerException in controller execution layer,Sa-East-1,True,Slow
1422,175,2026-05-02 02:23:59,109.22,200,DELETE,11.057,15.74,19.73,1,No Error,Eu-West-1,False,Fast
1423,109,2026-05-08 23:32:07,-1.0,400,GET,9.869,165.4,0.0,1,No Error,Eu-West-1,True,Fast
1424,247,2026-05-13 10:43:24,39.53,403,PUT,2946.96,8.61,18.79,1,Forbidden: Client lacks required read/write scopes,Ap-Southeast-1,True,Fast
1425,71,2026-05-03 13:21:21,23293.59,504,DELETE,4.011,94.37,92.67,1,Gateway Timeout: Upstream microservice failed to respond within 15000ms,Us-East-1,True,Slow
1426,172,2026-05-15 09:36:06,197.24,201,PATCH,1323.433,22.03,17.93,2,No Error,Us-East-1,False,Fast
1427,194,2026-05-08 06:37:59,64.59,401,PUT,1017.966,0.66,28.75,1,Unauthorized: Signature mismatch or expired bearer token,Ap-Southeast-1,True,Fast
1428,78,2026-05-04 08:34:46,236.19,204,PATCH,2976.196,36.64,21.8,2,No Error,Ap-Southeast-1,False,Moderate
1429,61,2026-03-05 20:32:27,50.97,500,POST,717.162,56.24,48.61,1,CRITICAL_TELEMETRY_DROP_OUT,Sa-East-1,True,Fast
1430,19,2026-05-10 07:21:28,90.85,200,DELETE,5.001,1.93,38.32,1,No Error,Us-West-2,False,Fast
1431,239,2026-05-09 05:40:10,324.36,200,PATCH,3035.646,19.75,12.06,1,No Error,Eu-West-1,False,Moderate
1432,128,2026-05-20 03:37:02,49.4,200,GET,3.498,26.95,35.07,1,No Error,Sa-East-1,False,Fast
1433,224,2026-05-12 07:44:52,25057.8,503,PUT,639.123,98.89,99.84,1,Service Unavailable: Downstream database connection pool timeout,Us-West-2,True,Slow
1434,30,2026-05-23 10:33:14,64.59,429,DELETE,11.067,4.91,18.75,1,Rate Limit Exceeded: Threshold of 100 req/sec breached,Eu-West-1,True,Fast
1435,70,2026-05-09 11:49:13,347.45,200,PATCH,4000.405,10.1,17.66,1,No Error,Us-West-2,False,Moderate
1436,19,2026-05-21 11:01:41,149.44,200,PATCH,311.279,22.77,33.02,1,No Error,Us-West-2,False,Fast
1437,208,2026-05-13 23:52:29,308.95,200,POST,2587.717,7.45,28.23,1,No Error,Sa-East-1,False,Moderate
1438,90,2026-05-11 03:00:03,68.93,204,DELETE,5.727,19.5,43.64,5,No Error,Eu-West-1,False,Fast
1439,184,2026-05-25 16:35:30,342.19,204,GET,9.844,17.79,49.97,1,No Error,Us-West-2,False,Moderate
1440,46,2026-05-21 04:40:05,375.93,200,POST,2222.767,13.9,47.15,1,No Error,Sa-East-1,False,Moderate
1441,184,2026-05-19 02:05:20,190.62,200,GET,3.964,1.12,44.41,1,No Error,Us-East-1,False,Fast
1442,240,2026-05-18 19:10:53,365.71,200,POST,1501.942,6.88,24.61,1,No Error,Ap-Southeast-1,False,Moderate
1443,101,2026-05-17 21:12:10,28102.93,500,GET,8.002,96.96,94.03,1,Internal Server Error: NullPointerException in controller execution layer,Us-West-2,True,Slow
1444,234,2026-05-15 15:17:16,74.14,200,GET,1.67,20.44,24.45,1,No Error,Sa-East-1,False,Fast
1445,31,2026-05-17 19:28:50,19.31,404,PUT,3616.824,4.73,25.99,1,Resource Not Found: Endpoint entity collection does not exist,Sa-East-1,True,Fast
1446,96,2026-05-13 14:10:14,374.66,200,GET,8.323,23.29,20.83,1,No Error,Eu-West-1,False,Moderate
1447,126,2026-05-07 14:51:15,356.5,201,GET,1.426,34.51,36.35,1,No Error,Sa-East-1,False,Moderate
1448,158,2026-05-07 08:32:12,271.98,201,PUT,3666.004,32.19,31.21,1,No Error,Us-West-2,False,Moderate
1449,180,2026-05-05 06:05:00,51.87,401,PUT,3825.551,10.91,12.0,2,Unauthorized: Signature mismatch or expired bearer token,Ap-Southeast-1,True,Fast
1450,91,2026-05-11 02:08:35,437.32,200,DELETE,7.467,3.29,41.87,1,No Error,Ap-Southeast-1,False,Moderate
1451,33,2026-05-07 06:18:00,423.62,200,DELETE,9.632,2.9,18.24,1,No Error,Sa-East-1,False,Moderate
1452,67,2026-05-10 11:18:39,308.32,200,PUT,2587.905,29.7,24.8,1,No Error,Us-West-2,False,Moderate
1453,247,2026-05-09 13:45:14,42.68,401,PUT,869.069,8.84,17.06,1,Unauthorized: Signature mismatch or expired bearer token,Us-East-1,True,Fast
1454,32,2026-05-23 08:48:35,20734.05,503,PUT,3632.58,93.31,92.41,1,Service Unavailable: Downstream database connection pool timeout,Sa-East-1,True,Slow
1455,112,2026-05-13 14:07:44,54.85,204,DELETE,6.083,32.7,32.51,1,No Error,Eu-West-1,False,Fast
1456,78,2026-05-06 01:55:09,67.12,200,DELETE,1.057,33.21,30.59,1,No Error,Us-East-1,False,Fast
1457,244,2026-05-13 01:14:22,68.41,404,POST,843.676,10.19,25.27,1,Resource Not Found: Endpoint entity collection does not exist,Us-East-1,True,Fast
1458,157,2026-05-21 03:23:00,37.09,401,POST,1413.27,6.95,13.69,1,Unauthorized: Signature mismatch or expired bearer token,Ap-Southeast-1,True,Fast
1459,214,2026-05-25 16:56:52,15348.25,504,GET,1.269,92.44,94.4,1,Gateway Timeout: Upstream microservice failed to respond within 15000ms,Us-East-1,True,Slow
1460,240,2026-05-20 00:50:45,43.43,200,PATCH,3974.919,35.14,24.17,1,No Error,Us-West-2,False,Fast
1461,158,2026-05-14 17:02:13,49.82,401,PATCH,2291.929,3.89,23.24,1,Unauthorized: Signature mismatch or expired bearer token,Us-East-1,True,Fast
1462,33,2026-05-22 17:05:27,352.01,200,POST,3058.192,9.42,43.12,1,No Error,Ap-Southeast-1,False,Moderate
1463,16,2026-05-23 22:31:46,177.72,201,POST,1554.666,1.15,46.79,1,No Error,Us-West-2,False,Fast
1464,181,2026-05-01 09:34:53,435.17,201,GET,1.751,36.87,15.42,1,No Error,Eu-West-1,False,Moderate
1465,169,2026-05-09 06:50:08,274.43,200,PUT,2879.656,14.31,24.35,1,No Error,Ap-Southeast-1,False,Moderate
1466,18,2026-05-05 01:06:53,418.62,200,PUT,3845.457,17.25,40.53,1,No Error,Us-West-2,False,Moderate
1467,49,2026-05-07 20:14:37,239.62,204,GET,11.425,28.47,29.96,5,No Error,Sa-East-1,False,Moderate
1468,86,2026-05-20 10:02:37,39.21,429,PATCH,3476.123,7.63,29.47,1,Rate Limit Exceeded: Threshold of 100 req/sec breached,Ap-Southeast-1,True,Fast
1469,153,2026-05-15 09:16:31,410.33,200,POST,2531.004,5.7,27.15,1,No Error,Sa-East-1,False,Moderate
1470,10,2026-05-17 04:21:37,22883.75,500,POST,1742.703,94.53,93.51,1,Internal Server Error: NullPointerException in controller execution layer,Eu-West-1,True,Slow
1471,107,2026-05-10 14:11:21,231.81,200,GET,1.578,21.46,36.71,1,No Error,Us-West-2,False,Moderate
1472,1,2026-05-08 14:38:17,442.41,201,POST,2583.52,12.26,45.95,1,No Error,Us-East-1,False,Moderate
1473,175,2026-05-19 09:03:40,122.83,201,POST,3019.969,22.35,28.46,1,No Error,Sa-East-1,False,Fast
1474,138,2026-05-15 07:51:44,180.56,204,GET,2.032,32.64,17.66,1,No Error,Eu-West-1,False,Fast
1475,250,2026-05-24 13:20:03,24.05,200,PATCH,1369.603,30.6,29.32,2,No Error,Us-East-1,False,Fast
1476,22,2026-05-15 21:34:34,85.52,200,DELETE,11.974,38.28,26.04,1,No Error,Us-West-2,False,Fast
1477,237,2026-05-07 04:03:18,28264.17,500,DELETE,10.13,90.63,92.83,1,Internal Server Error: NullPointerException in controller execution layer,Us-West-2,True,Slow
1478,34,2026-05-12 11:43:36,30.94,401,DELETE,2.794,2.58,14.67,1,Unauthorized: Signature mismatch or expired bearer token,Ap-Southeast-1,True,Fast
1479,118,2026-05-21 02:25:51,153.85,200,POST,2084.041,33.09,36.95,1,No Error,Eu-West-1,False,Fast
1480,140,2026-05-13 14:15:45,35.04,200,PATCH,2649.294,2.47,18.52,1,No Error,Us-East-1,False,Fast
1481,106,2026-05-07 11:46:05,386.42,204,GET,8.692,22.25,22.89,1,No Error,Us-East-1,False,Moderate
1482,179,2026-05-02 13:43:11,80.15,403,DELETE,0.95,11.47,28.24,1,Forbidden: Client lacks required read/write scopes,Us-West-2,True,Fast
1483,249,2026-05-12 02:15:10,84.41,403,POST,278.876,11.94,16.7,1,Forbidden: Client lacks required read/write scopes,Us-East-1,True,Fast
1484,232,2026-05-18 23:58:04,420.53,204,GET,1.518,36.74,20.55,1,No Error,Us-West-2,False,Moderate
1485,194,2026-05-12 07:58:02,405.83,204,GET,3.348,35.21,41.1,1,No Error,Sa-East-1,False,Moderate
1486,202,2026-05-14 10:24:36,8.89,403,PUT,2755.179,3.38,14.9,1,Forbidden: Client lacks required read/write scopes,Sa-East-1,True,Fast
1487,202,2026-05-23 05:31:50,329.16,200,POST,1216.076,15.74,30.64,1,No Error,Eu-West-1,False,Moderate
1488,91,2026-05-12 13:34:50,203.12,201,PATCH,114.538,11.81,45.95,1,No Error,Us-East-1,False,Moderate
1489,242,2026-05-20 23:28:00,431.13,200,POST,3623.931,23.0,48.45,2,No Error,Us-East-1,False,Moderate
1490,35,2026-05-15 17:56:30,295.08,200,PUT,1453.318,13.92,18.98,1,No Error,Sa-East-1,False,Moderate
1491,181,2026-05-13 08:11:41,371.91,204,PATCH,1044.159,2.69,38.42,2,No Error,Us-West-2,False,Moderate
1492,231,2026-05-25 11:32:49,99999.99,200,GET,1.119,165.4,-1.0,1,No Error,Sa-East-1,False,Slow
1493,232,2026-05-19 13:03:02,127.14,200,PUT,2538.205,64.74,73.82,1,No Error,Ap-Southeast-1,False,Fast
1494,11,2026-05-08 06:45:00,427.19,200,PUT,106.389,8.89,15.45,1,No Error,Ap-Southeast-1,False,Moderate
1495,96,2026-05-16 21:53:06,215.6,204,DELETE,8.069,18.97,27.0,1,No Error,Us-East-1,False,Moderate
1496,5,2026-05-15 18:25:35,421.45,201,DELETE,2.408,29.38,49.95,2,No Error,Eu-West-1,False,Moderate
1497,190,2026-05-06 17:03:59,179.39,200,PUT,32.364,23.97,45.81,1,No Error,Sa-East-1,False,Fast
1498,224,2026-05-06 15:36:28,86.81,401,GET,8.473,5.06,29.57,1,Unauthorized: Signature mismatch or expired bearer token,Eu-West-1,True,Fast
1499,128,2026-05-09 02:13:18,240.24,200,PATCH,3479.697,18.29,43.1,1,No Error,Us-East-1,False,Moderate
1500,23,2026-05-04 05:04:10,38.61,403,PUT,604.404,5.48,25.21,1,Forbidden: Client lacks required read/write scopes,Sa-East-1,True,Fast
1501,172,2026-05-05 07:31:47,69.04,200,PUT,1696.165,11.62,17.88,1,No Error,Eu-West-1,False,Fast
1502,179,2026-05-13 13:29:40,75.58,403,GET,2.39,2.73,21.59,1,Forbidden: Client lacks required read/write scopes,Eu-West-1,True,Fast
1503,245,2026-05-10 00:00:37,247.26,201,GET,3.064,10.2,23.29,1,No Error,Eu-West-1,False,Moderate
1504,8,2026-05-14 15:38:53,-1.0,400,POST,3925.622,165.4,0.0,1,No Error,Us-West-2,True,Fast
1505,11,2026-05-23 12:03:14,99.7,200,PATCH,792.179,12.86,12.49,2,No Error,Sa-East-1,False,Fast
1506,104,2026-05-05 18:06:08,250.74,200,PUT,1895.556,30.09,12.98,1,No Error,Ap-Southeast-1,False,Moderate
1507,55,2026-05-13 05:46:30,40.17,429,GET,8.573,6.83,25.73,1,Rate Limit Exceeded: Threshold of 100 req/sec breached,Us-East-1,True,Fast
1508,145,2026-05-10 05:20:21,397.79,200,GET,2.043,5.27,48.31,1,No Error,Us-West-2,False,Moderate
1509,44,2026-05-19 07:11:27,15.08,400,GET,11.795,3.63,15.19,1,No Error,Eu-West-1,True,Fast
1510,15,2026-05-06 22:51:49,68.02,401,POST,2675.751,6.15,13.7,1,Unauthorized: Signature mismatch or expired bearer token,Us-West-2,True,Fast
1511,170,2026-05-16 16:28:57,45.48,400,DELETE,2.857,11.35,20.64,1,Bad Request: Invalid JSON payload structure,Sa-East-1,True,Fast
1512,18,2026-05-01 03:08:17,452.29,500,GET,10.65,26.98,73.42,1,CRITICAL_TELEMETRY_DROP_OUT,Ap-Southeast-1,True,Moderate
1513,131,2026-05-22 20:41:17,125.56,204,PATCH,3488.106,4.45,20.68,1,No Error,Us-West-2,False,Fast
1514,150,2026-05-12 08:25:59,62.02,404,PUT,3018.395,4.38,17.5,1,Resource Not Found: Endpoint entity collection does not exist,Eu-West-1,True,Fast
1515,167,2026-05-14 10:28:28,439.31,200,POST,3963.359,38.37,26.11,1,No Error,Sa-East-1,False,Moderate
1516,91,2026-05-07 09:10:16,16.57,400,DELETE,2.471,7.62,9.28,1,Bad Request: Invalid JSON payload structure,Us-West-2,True,Fast
1517,90,2026-05-03 04:46:09,127.67,204,POST,2455.614,16.81,24.78,5,No Error,Sa-East-1,False,Fast
1518,179,2026-05-02 21:12:23,331.3,200,DELETE,9.362,6.33,16.24,1,No Error,Sa-East-1,False,Moderate
1519,43,2026-05-17 22:29:30,278.06,200,DELETE,4.81,27.32,34.64,1,No Error,Eu-West-1,False,Moderate
1520,139,2026-05-09 14:38:23,211.54,200,DELETE,3.811,3.67,17.83,1,No Error,Sa-East-1,False,Moderate
1521,43,2026-05-19 13:51:58,66.37,201,GET,6.191,36.35,51.98,1,No Error,Sa-East-1,False,Fast
